# _tick,_time,frames,total_episodes,episode_wins,interactions,visited_states,mean_episode_length,mean_episode_return,episode_return_std,total_loss,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,std_intrinsic_rewards,mean_total_rewards,mean_state_rewards,mean_change_rewards,state_counts,change_counts,state_counts_std,change_counts_std
0,1725191835.128122,0,8.0,0.0,1.4375,0,288.0,0.0,0.0,-1.9034157991409302,-1.8092362880706787,0.0031074737198650837,-0.09728697687387466,0.0,0.0,0.0,0.0,0.522099494934082,0.42588555812835693,41.6875,68.53125,5.4963698387146,17.35108184814453
1,1725191843.2004664,3200,10.0,0.09375,1.09375,0,266.6000061035156,0.09687500447034836,0.156291663646698,41.999298095703125,40.11917495727539,1.9773578643798828,-0.09723722189664841,0.00030273437732830644,0.0,0.0,0.00030273437732830644,0.4447959065437317,0.33709606528282166,91.25,159.9375,8.398452758789062,31.198822021484375
2,1725191854.4165092,6400,14.0,0.03125,1.25,0,279.7857360839844,0.03281250223517418,0.12277314066886902,-0.4559570252895355,-0.418074369430542,0.059400007128715515,-0.09728267043828964,0.00014355468738358468,0.0,0.0,0.00014355468738358468,0.44671928882598877,0.343931645154953,139.59375,248.0,10.440753936767578,41.098636627197266
3,1725191865.5403244,9600,10.0,0.0,1.46875,0,288.0,0.0,0.0,-0.8818649053573608,-0.7854639887809753,0.0008726781816221774,-0.0972735658288002,0.0,0.0,0.0,0.0,0.4432899057865143,0.32658666372299194,191.21875,334.15625,11.772826194763184,49.31616973876953
4,1725191876.924964,12800,8.0,0.0,1.09375,0,288.0,0.0,0.0,0.3053082823753357,0.40225255489349365,0.0003291440079919994,-0.09727339446544647,0.0,0.0,0.0,0.0,0.4301382601261139,0.33150336146354675,239.5,421.71875,12.763809204101562,55.92432403564453
5,1725191888.4345655,16000,14.0,0.0,1.46875,0,288.0,0.0,0.0,-0.3006989061832428,-0.20365989208221436,0.00023451581364497542,-0.09727352112531662,0.0,0.0,0.0,0.0,0.429544061422348,0.31810885667800903,286.9375,506.75,14.074638366699219,62.199180603027344
6,1725191899.735986,19200,11.0,0.0625,0.8125,0,272.0,0.06818182021379471,0.17753641307353973,1.2548309564590454,1.279768943786621,0.07233485579490662,-0.09727292507886887,0.00023437499476131052,0.0,0.0,0.00023437499476131052,0.38243356347084045,0.29821231961250305,327.3125,584.5625,15.939897537231445,68.51029968261719
7,1725191911.1115084,22400,13.0,0.0,1.34375,0,288.0,0.0,0.0,-1.6320115327835083,-1.5375111103057861,0.0027735393960028887,-0.09727394580841064,0.0,0.0,0.0,0.0,0.42694979906082153,0.32646670937538147,375.8125,668.40625,17.13697052001953,73.83119201660156
8,1725191923.9020064,25600,11.0,0.03125,1.5,0,270.81817626953125,0.0627840906381607,0.20823127031326294,2.367396116256714,2.3359291553497314,0.12874054908752441,-0.0972735658288002,0.00021582031331490725,0.0,0.0,0.00021582031331490725,0.43882620334625244,0.32793787121772766,428.125,759.65625,17.779932022094727,78.164794921875
9,1725191935.3509746,28800,11.0,0.0625,1.15625,0,249.18182373046875,0.13948863744735718,0.3110977113246918,-0.9609943628311157,-0.968869686126709,0.10514804720878601,-0.09727275371551514,0.00047949215513654053,0.0,0.0,0.00047949215513654053,0.3978469669818878,0.3172948956489563,474.8125,844.1875,18.61101722717285,82.56424713134766
10,1725191947.7153456,32000,14.0,0.0625,1.09375,0,275.21429443359375,0.05424107611179352,0.1465427279472351,1.4081095457077026,1.4149616956710815,0.09042611718177795,-0.09727828204631805,0.00023730468819849193,0.0,0.0,0.00023730468819849193,0.42672473192214966,0.33196184039115906,522.34375,931.75,19.46562957763672,86.6763687133789
11,1725191958.5798156,35200,10.0,0.03125,0.90625,0,278.0,0.04125000163912773,0.13044394552707672,-1.0885119438171387,-1.0409249067306519,0.04968690872192383,-0.09727400541305542,0.00012890624930150807,0.0,0.0,0.00012890624930150807,0.3894002437591553,0.3023432791233063,566.5,1015.5625,20.335193634033203,90.82296752929688
12,1725191971.8899283,38400,13.0,0.0625,1.40625,0,264.0769348144531,0.09014423191547394,0.26271024346351624,-0.6677820086479187,-0.6084322333335876,0.037926945835351944,-0.0972767323255539,0.0003662109375,0.0,0.0,0.0003662109375,0.41887030005455017,0.31952568888664246,609.28125,1097.40625,21.017940521240234,94.81739807128906
13,1725191984.2284815,41600,12.0,0.03125,1.03125,0,281.16668701171875,0.02968749962747097,0.10284051299095154,0.8278058767318726,0.8836899995803833,0.04139215126633644,-0.0972762480378151,0.00011132811778225005,0.0,0.0,0.00011132811778225005,0.37648841738700867,0.31235870718955994,651.96875,1181.75,21.874042510986328,98.51197052001953
14,1725191996.6351538,44800,10.0,0.03125,1.59375,0,269.8999938964844,0.06656249612569809,0.21048910915851593,0.4490172266960144,0.427096426486969,0.11920300126075745,-0.09728222340345383,0.00020800779748242348,0.0,0.0,0.00020800779748242348,0.4111030101776123,0.2978752553462982,699.65625,1263.5625,23.018835067749023,102.38203430175781
15,1725192009.0266478,48000,13.0,0.0,1.28125,0,288.0,0.0,0.0,-2.172041654586792,-2.078795909881592,0.004022692330181599,-0.09726844727993011,0.0,0.0,0.0,0.0,0.39878273010253906,0.31234657764434814,739.0,1340.25,23.813701629638672,106.0766830444336
16,1725192021.620809,51200,8.0,0.0,1.5625,0,288.0,0.0,0.0,0.22725656628608704,0.3242180347442627,0.0003060059098061174,-0.09726747125387192,0.0,0.0,0.0,0.0,0.39571037888526917,0.3021213412284851,781.5625,1423.125,24.553556442260742,109.4572525024414
17,1725192034.6338117,54400,13.0,0.0,1.25,0,288.0,0.0,0.0,-0.095086470246315,0.002021990716457367,0.00015989449457265437,-0.09726835787296295,0.0,0.0,0.0,0.0,0.3832426071166992,0.3033263087272644,828.28125,1513.8125,25.254159927368164,112.7816390991211
18,1725192046.6456258,57600,11.0,0.0,1.5625,0,288.0,0.0,0.0,-0.1179238110780716,-0.020786412060260773,0.000130709377117455,-0.09726811200380325,0.0,0.0,0.0,0.0,0.3842528462409973,0.2954866290092468,868.34375,1590.0,26.10228729248047,116.09590148925781
19,1725192059.5684342,60800,11.0,0.09375,1.0,0,254.5454559326172,0.13181819021701813,0.2538716495037079,2.9646735191345215,2.881103992462158,0.18083733320236206,-0.0972677692770958,0.0004531249578576535,0.0,0.0,0.0004531249578576535,0.37446731328964233,0.30649521946907043,904.3125,1661.03125,26.69097900390625,119.67716979980469
20,1725192072.2813332,64000,12.0,0.0,0.46875,0,288.0,0.0,0.0,-2.74945330619812,-2.6587557792663574,0.006568027660250664,-0.09726545959711075,0.0,0.0,0.0,0.0,0.35454753041267395,0.282630980014801,946.78125,1746.8125,27.742069244384766,122.86285400390625
21,1725192085.6695147,67200,11.0,0.0,1.4375,0,288.0,0.0,0.0,-0.045951809734106064,0.05101148039102554,0.0003023422905243933,-0.09726563096046448,0.0,0.0,0.0,0.0,0.38720187544822693,0.29954206943511963,983.28125,1823.90625,28.3344669342041,125.86666870117188
22,1725192097.8836052,70400,11.0,0.0,0.8125,0,288.0,0.0,0.0,-0.12355181574821472,-0.026417704299092293,0.0001314091932727024,-0.09726551920175552,0.0,0.0,0.0,0.0,0.35806891322135925,0.29644763469696045,1016.4375,1892.9375,29.264259338378906,129.11392211914062
23,1725192110.7913408,73600,11.0,0.0,1.0625,0,288.0,0.0,0.0,-0.14872610569000244,-0.05159152299165726,0.0001309736107941717,-0.09726554900407791,0.0,0.0,0.0,0.0,0.34879469871520996,0.2748037278652191,1050.25,1964.9375,30.39471435546875,132.7366180419922
24,1725192122.9256465,76800,13.0,0.0,1.53125,0,288.0,0.0,0.0,-0.029056258499622345,0.06808273494243622,0.00012690051516983658,-0.09726589173078537,0.0,0.0,0.0,0.0,0.3925069272518158,0.3093317449092865,1096.375,2053.6875,30.51405906677246,135.35731506347656
25,1725192135.1268623,80000,10.0,0.03125,1.0,0,273.6000061035156,0.055000003427267075,0.1739252656698227,1.7798105478286743,1.7826299667358398,0.09444587677717209,-0.09726524353027344,0.00017187499906867743,0.0,0.0,0.00017187499906867743,0.3838271200656891,0.3038066029548645,1132.0625,2128.0,31.339223861694336,138.17138671875
26,1725192147.9781861,83200,13.0,0.03125,1.3125,0,276.0,0.045192308723926544,0.16294318437576294,0.21590843796730042,0.21138107776641846,0.10179268568754196,-0.09726532548666,0.00018359374371357262,0.0,0.0,0.00018359374371357262,0.3655776381492615,0.3030727803707123,1168.59375,2205.375,31.990310668945312,140.95932006835938
27,1725192159.793451,86400,11.0,0.0,1.28125,0,288.0,0.0,0.0,-1.961452603340149,-1.8671246767044067,0.002933819079771638,-0.09726181626319885,0.0,0.0,0.0,0.0,0.3791309595108032,0.2924714982509613,1207.0,2281.15625,32.69776153564453,143.62135314941406
28,1725192173.4688008,89600,9.0,0.0625,2.0625,0,255.44444274902344,0.12395833432674408,0.2876952290534973,3.531897783279419,3.396610736846924,0.23255153000354767,-0.09726451337337494,0.000348632805980742,0.0,0.0,0.000348632805980742,0.3672703504562378,0.29428741335868835,1248.125,2368.1875,33.43877410888672,146.22882080078125
29,1725192184.9796743,92800,16.0,0.0625,0.90625,0,275.5625,0.05136718600988388,0.14517845213413239,-1.8793203830718994,-1.8242332935333252,0.042167168110609055,-0.09725426137447357,0.00025683591957204044,0.0,0.0,0.00025683591957204044,0.35081639885902405,0.29143258929252625,1283.59375,2437.15625,34.086952209472656,149.03302001953125
30,1725192198.261112,96000,10.0,0.03125,1.78125,0,269.3000183105469,0.06843750178813934,0.21641837060451508,-0.2852756381034851,-0.2584523558616638,0.07043248414993286,-0.09725576639175415,0.0002138671843567863,0.0,0.0,0.0002138671843567863,0.35059070587158203,0.28308016061782837,1314.375,2503.0,35.0965576171875,152.0580596923828
31,1725192211.2494912,99200,9.0,0.0,1.75,0,288.0,0.0,0.0,-0.9792441725730896,-0.88287752866745,0.0008851996390148997,-0.09725181758403778,0.0,0.0,0.0,0.0,0.3438585698604584,0.288226842880249,1352.78125,2586.59375,35.20517349243164,154.36968994140625
32,1725192224.8106918,102400,13.0,0.03125,1.65625,0,275.69232177734375,0.046153850853443146,0.16641005873680115,2.0416817665100098,2.0213961601257324,0.11753752082586288,-0.09725198894739151,0.0001875000016298145,0.0,0.0,0.0001875000016298145,0.3479175567626953,0.29222556948661804,1382.0,2650.6875,36.61791229248047,157.50970458984375
33,1725192237.363471,105600,13.0,0.0,1.1875,0,288.0,0.0,0.0,-1.9032987356185913,-1.8089896440505981,0.0029515507631003857,-0.09726063907146454,0.0,0.0,0.0,0.0,0.3478744328022003,0.2923544943332672,1418.625,2735.3125,36.578773498535156,159.67654418945312
34,1725192249.8655558,108800,11.0,0.0,1.21875,0,288.0,0.0,0.0,-0.48586857318878174,-0.38890010118484497,0.00029212600202299654,-0.09726060926914215,0.0,0.0,0.0,0.0,0.33603668212890625,0.2821284830570221,1452.25,2807.15625,37.07026672363281,161.9957275390625
35,1725192261.574511,112000,10.0,0.0,1.25,0,288.0,0.0,0.0,-0.20226523280143738,-0.10518576204776764,0.00018088467186316848,-0.09726034849882126,0.0,0.0,0.0,0.0,0.33613672852516174,0.2794300317764282,1477.28125,2865.3125,38.20995330810547,165.17550659179688
36,1725192273.5418012,115200,11.0,0.0,1.34375,0,288.0,0.0,0.0,-0.04677921533584595,0.05031605809926987,0.0001650141057325527,-0.09726028889417648,0.0,0.0,0.0,0.0,0.3391951024532318,0.29221174120903015,1506.5625,2934.1875,38.87899398803711,167.45425415039062
37,1725192286.3499339,118400,11.0,0.0,1.09375,0,288.0,0.0,0.0,-0.12578831613063812,-0.02870168536901474,0.0001741067972034216,-0.0972607359290123,0.0,0.0,0.0,0.0,0.3479986786842346,0.28200146555900574,1535.15625,3002.8125,39.476097106933594,170.23477172851562
38,1725192298.6229393,121600,11.0,0.0,1.15625,0,288.0,0.0,0.0,-0.07925422489643097,0.017848718911409378,0.00015804960276000202,-0.0972609892487526,0.0,0.0,0.0,0.0,0.3538321256637573,0.2855629622936249,1569.53125,3077.78125,39.929039001464844,172.57449340820312
39,1725192310.462383,124800,13.0,0.0625,1.34375,0,266.0,0.08413461595773697,0.21621470153331757,0.9992820024490356,1.0318063497543335,0.0647360235452652,-0.09726037830114365,0.0003417968691792339,0.0,0.0,0.0003417968691792339,0.36455875635147095,0.2852478623390198,1610.15625,3160.40625,40.43122482299805,175.1744384765625
40,1725192322.8612878,128000,10.0,0.0,0.4375,0,288.0,0.0,0.0,-1.0508973598480225,-0.954576313495636,0.0009432240040041506,-0.09726426750421524,0.0,0.0,0.0,0.0,0.3280562460422516,0.2756481468677521,1639.0,3225.59375,41.089744567871094,177.6993408203125
41,1725192336.312758,131200,12.0,0.0,1.4375,0,288.0,0.0,0.0,-0.23309242725372314,-0.13596577942371368,0.00013883455540053546,-0.09726547449827194,0.0,0.0,0.0,0.0,0.34019163250923157,0.27440109848976135,1668.0625,3298.59375,41.41122817993164,180.22354125976562
